facility,service_line,sub_service,ip_op_indicator,med_surg_indicator,demand,date
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,03/02/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/03/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/05/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/07/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,03/10/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,03/11/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/13/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/15/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,03/16/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,17,03/18/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/19/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,03/20/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,03/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,03/22/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,03/23/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,03/25/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/26/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/27/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,18,03/28/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,03/29/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,03/30/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,03/31/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,04/03/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/04/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,04/05/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,04/06/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,04/07/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/10/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,04/13/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/14/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/17/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,04/19/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/20/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,04/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,04/24/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,04/25/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/26/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,04/27/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,04/28/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,04/29/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,05/03/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,05/04/2018
