facility,service_line,sub_service,ip_op_indicator,med_surg_indicator,resource,utilization_max,utilization_mean,utilization_min
facility1,Cardiac Services,Cardiac Cath,I,SURG,ICU Beds,,0.492,
facility1,Cardiac Services,Cardiac Cath,I,SURG,Operating Rooms,,0.598,
facility1,Cardiac Services,Cardiac Cath,I,SURG,Routine Beds,,0.291,
facility1,Cardiac Services,Cardiac Cath,I,SURG,Ventilators,,0.05,
facility1,Cardiac Services,Cardiac EP,I,SURG,ICU Beds,,0.439,
facility1,Cardiac Services,Cardiac EP,I,SURG,Routine Beds,,0.526,
facility1,Cardiac Services,Cardiac EP,I,SURG,Ventilators,,0.035,
facility1,Cardiac Services,Cardiac Surgery,I,SURG,ICU Beds,,0.487,
facility1,Cardiac Services,Cardiac Surgery,I,SURG,Operating Rooms,,0.844,
facility1,Cardiac Services,Cardiac Surgery,I,SURG,Routine Beds,,0.44,
facility1,Cardiac Services,Cardiac Surgery,I,SURG,Ventilators,,0.156,
facility1,Cardiac Services,Medical Cardiology,I,MED,ICU Beds,,0.162,
facility1,Cardiac Services,Medical Cardiology,I,MED,Operating Rooms,,0.203,
facility1,Cardiac Services,Medical Cardiology,I,MED,Routine Beds,,0.713,
facility1,Cardiac Services,Medical Cardiology,I,MED,Ventilators,,0.021,
facility1,Gynecology,Biopsy - Gynecology,O,SURG,Operating Rooms,,0.116,
facility1,Gynecology,General Gynecology Procedures,O,SURG,Operating Rooms,,0.179,
facility1,Gynecology,General Surgical Gynecology,I,SURG,ICU Beds,,0.01,
facility1,Gynecology,General Surgical Gynecology,I,SURG,Obstetrics Beds,,0.002,
facility1,Gynecology,General Surgical Gynecology,I,SURG,Operating Rooms,,0.483,
facility1,Gynecology,General Surgical Gynecology,I,SURG,Routine Beds,,0.388,
facility1,Gynecology,General Surgical Gynecology,I,SURG,Ventilators,,0.004,
facility1,Gynecology,Gyn Surgical Oncology,I,SURG,ICU Beds,,0.023,
facility1,Gynecology,Gyn Surgical Oncology,I,SURG,Obstetrics Beds,,0.003,
facility1,Gynecology,Gyn Surgical Oncology,I,SURG,Operating Rooms,,0.729,
facility1,Gynecology,Gyn Surgical Oncology,I,SURG,Routine Beds,,0.088,
facility1,Gynecology,Gyn Surgical Oncology,I,SURG,Ventilators,,0.005,
facility1,Gynecology,Gynecological Exams,O,SURG,Operating Rooms,,0.149,
facility1,Gynecology,Hysterectomy,O,SURG,Operating Rooms,,0.51,
facility1,Gynecology,Medical Gynecology,I,MED,Obstetrics Beds,,0.005,
facility1,Gynecology,Medical Gynecology,I,MED,Routine Beds,,0.188,
facility1,Gynecology,Uterine Fibroid Procedures,O,SURG,Operating Rooms,,0.244,
facility1,Gynecology,Women's Reproductive Health Procedures,O,SURG,Operating Rooms,,0.236,
facility1,Oncology,Radiation Therapy,O,SURG,Operating Rooms,,0.357,
facility1,Pulmonology,Bronchoscopy,O,SURG,Operating Rooms,,0.187,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Cardiac Short Stay Beds,,0.135,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Cardiac Transplant Beds,,0.012,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Cardiac VIP Beds,,0.012,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Cardiology Stepdown Beds,,0.466,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Cardiovascular Surgery ICU Beds,,0.017,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Cardiovascular Surgery Stepdown Beds,,0.111,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Colorectal Surgery Beds,,0,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Coronary ICU Beds,,0.088,
facility2,Cardiac Services,Cardiac Cath,I,SURG,ED Observation Beds,,0,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Heart Failure ICU Beds,,0.001,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Medical ICU Beds,,0.003,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Medicine Beds,,0.011,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Neuro ICU Beds,,0.002,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Neuro MedSurg Beds,,0.001,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Operating Rooms,,0.501,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Ortho Beds,,0,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Pediatric Intensive Care Unit Beds,,0.001,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Surgery ICU Beds,,0.001,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Thoracic Surgery Stepdown Beds,,0.019,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Transplant Beds,,0.002,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Urology Beds,,0.001,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Vascular Surgery ICU Beds,,0.001,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Vascular Surgery Stepdown Beds,,0.018,
facility2,Cardiac Services,Cardiac Cath,I,SURG,Ventilators,,0.024,
facility2,Cardiac Services,Cardiac EP,I,SURG,Cardiac Short Stay Beds,,0.001,
facility2,Cardiac Services,Cardiac EP,I,SURG,Cardiac Transplant Beds,,0.011,
